14	 15-N 	7	p	    1783.61(6)	1783.61	        1.95E-04(13)	0.000195	1.30E-05	          4.2E-05(3)	4.22E-05	2.81E-06
14	 15-N 	7	p	  1853.922(19)	1853.922	        0.000508(10)	0.000508	1.00E-05	       1.099E-04(22)	1.10E-04	2.16E-06
14	 15-N 	7	p	  1884.821(16)	1884.821	         0.01470(18)	0.0147	1.80E-04	          0.00318(4)	3.18E-03	3.89E-05
14	 15-N 	7	p	  1988.632(20)	1988.632	        0.000289(16)	0.000289	1.60E-05	          6.3E-05(4)	6.25E-05	3.46E-06
14	 15-N 	7	p	  1999.690(16)	1999.69	          0.00323(4)	0.00323	4.00E-05	         0.000699(9)	6.99E-04	8.65E-06
14	 15-N 	7	p	  2001.920(19)	2001.92	          1.9E-04(4)	0.00019	4.00E-05	          4.1E-05(9)	4.11E-05	8.65E-06
14	 15-N 	7	p	  2030.589(19)	2030.589	          5.8E-05(7)	0.000058	7.00E-06	        1.25E-05(15)	1.25E-05	1.51E-06
14	 15-N 	7	p	    2247.30(4)	2247.3	          1.2E-05(3)	0.000012	3.00E-06	          2.6E-06(7)	2.60E-06	6.49E-07
14	 15-N 	7	p	    2261.80(4)	2261.8	          6.1E-05(5)	0.000061	5.00E-06	        1.32E-05(11)	1.32E-05	1.08E-06
14	 15-N 	7	p	   2293.18(15)	2293.18	          3.6E-05(4)	0.000036	4.00E-06	          7.8E-06(9)	7.79E-06	8.65E-07
14	 15-N 	7	p	  2520.457(17)	2520.457	         0.00441(24)	0.00441	2.40E-04	          0.00095(5)	9.54E-04	5.19E-05
14	 15-N 	7	p	    2725.47(6)	2725.47	          1.6E-05(4)	0.000016	4.00E-06	          3.5E-06(9)	3.46E-06	8.65E-07
14	 15-N 	7	p	  2830.789(17)	2830.789	          0.00134(3)	0.00134	3.00E-05	         0.000290(7)	2.90E-04	6.49E-06
14	 15-N 	7	p	   2898.31(11)	2898.31	          1.7E-05(4)	0.000017	4.00E-06	          3.7E-06(9)	3.68E-06	8.65E-07
