Gd	158-Gd	64	158	   24.84(7)         	24.84	0.07	    2.2(2)          	2.200E+00	2.00E-01	1	20
Gd	160-Gd	64	160	   21.86(19)        	21.86	0.19	    1.4(3)          	1.400E+00	3.00E-01	1	98
Tb	159-Tb	65	159	100	100		   23.3(4)          	2.330E+01	4.00E-01	1	224
Dy	156-Dy	66	156	    0.06(1)         	0.06	0.01	    33(3)           	3.300E+01	3.00E+00	1.009	25
Dy	158-Dy	66	158	    0.10(1)         	0.1	0.01	    43(6)           	4.300E+01	6.00E+00	0.989	0
Dy	160-Dy	66	160	    2.34(8)         	2.34	0.08	    55(3)           	5.500E+01	3.00E+00	1.009	100
Dy	161-Dy	66	161	   18.91(24)        	18.91	0.24	   600(25)          	6.000E+02	2.50E+01	0.991	78
Dy	162-Dy	66	162	   25.51(26)        	25.51	0.26	   194(10)          	1.940E+02	1.00E+01	1.005	328
Dy	163-Dy	66	163	   24.90(16)        	24.9	0.16	   134(7)           	1.340E+02	7.00E+00	1.003	45
Dy	164-Dy	66	164	   28.18(37)        	28.18	0.37	  2650(70)          	2.650E+03	7.00E+01	0.988	271
Ho	165-Ho	67	165	100	100		   64.7(12)         	6.470E+01	1.20E+00	1.002	550
Er	162-Er	68	162	    0.14(1)         	0.14	0.01	    19(2)           	1.900E+01	2.00E+00	1.001	1
Er	164-Er	68	164	    1.61(3)         	1.61	0.03	    13(2)           	1.300E+01	2.00E+00	1	0
Er	166-Er	68	166	   33.61(35)        	33.61	0.35	   16.9(16)         	1.690E+01	1.60E+00	1	87
Er	167-Er	68	167	   22.93(17)        	22.93	0.17	   649(8)           	6.490E+02	8.00E+00	1.069	805
Er	168-Er	68	168	   26.78(26)        	26.78	0.26	    2.74(8)         	2.740E+00	8.00E-02	1	102
Er	170-Er	68	170	   14.93(27)        	14.93	0.27	    8.9(3)          	8.850E+00	3.00E-01	1	97
Tm	169-Tm	69	169	100	100		   105(2)           	1.050E+02	2.00E+00	1.005	303
Yb	168-Yb	70	168	    0.13(1)         	0.13	0.01	  2300(170)         	2.300E+03	1.70E+02	1.057	233
Yb	170-Yb	70	170	    3.04(15)        	3.04	0.15	    9.9(18)         	9.900E+00	1.80E+00	1.001	24
Yb	171-Yb	70	171	   14.28(57)        	14.28	0.57	    58(4)           	5.830E+01	4.00E+00	0.999	266
Yb	172-Yb	70	172	   21.83(67)        	21.83	0.67	    1.3(8)          	1.300E+00	8.00E-01	1	25
Yb	173-Yb	70	173	   16.13(27)        	16.13	0.27	   15.5(15)         	1.550E+01	1.50E+00	1.001	47
