 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
133BA 56    12.327   .006  7.20E-06  1.50E-06     38.9 H  1.40E+05  3.60E+02 IT
133BA 56   275.925   .007  9.00E-05  2.20E-06     38.9 H  1.40E+05  3.60E+02 IT
135BA 56   268.218   .020  6.00E-04  1.00E-04     28.7 H  1.03E+05  7.20E+02 IT
136BA 56   818.514   .012  9.16E-04  1.11E-05   0.3084 S  3.08E-01  1.90E-03 IT
136BA 56  1048.073   .020  9.19E-04  1.11E-05   0.3084 S  3.08E-01  1.90E-03 IT
136BA 56   163.920   .002  2.80E-04  5.54E-07   0.3084 S  3.08E-01  1.90E-03 IT
137BA 56   661.657   .003  7.10E-04  7.00E-05    2.552 M  1.53E+02  6.00E-02 IT
139BA 56   165.857   .001  7.40E-02  8.00E-03    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1042.900   .000  8.20E-07  4.70E-10    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1053.000   .500  1.00E-06  4.00E-06    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1219.100   .400  1.22E-05  1.60E-06    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1090.800   .200  2.53E-05  2.40E-06    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1256.700  1.000  8.40E-06  1.00E-06    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1215.500   .400  9.80E-06  8.00E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1381.500   .500  2.40E-07  1.20E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1254.700   .200  8.20E-05  8.00E-06    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1420.500   .200  8.20E-04  8.00E-05    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1310.600   .200  4.98E-05  2.40E-06    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1476.300   .300  4.98E-06  8.01E-08    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1370.500   .300  9.20E-06  9.00E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1536.300   .300  6.60E-06  5.00E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1392.400   .500  2.40E-07  1.20E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1558.200   .400  6.40E-07  2.40E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1578.200   .400  1.60E-06  4.00E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1683.100   .300  8.00E-06  4.00E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1595.300   .300  6.40E-06  5.00E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1762.000  1.000  2.40E-07  8.00E-08    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1601.400  1.000  4.10E-07  8.00E-08    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1765.500   .400  5.40E-07  2.00E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1691.200  1.000  9.00E-07  8.00E-08    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1754.500   .500  1.60E-07  8.00E-08    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1920.600   .400  2.40E-07  1.10E-07    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1797.400  1.000  1.60E-07  8.00E-08    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  1894.700   .700  7.00E-08  5.00E-08    83.06 M  4.98E+03  1.68E+01 B-
139BA 56  2060.100   .400  1.60E-07  7.00E-08    83.06 M  4.98E+03  1.68E+01 B-
138LA 57   788.742   .000  2.73E-01  4.97E-03 1.05E+11 Y  3.31E+18  9.47E+16 B-
138LA 57  1435.795   .010  5.39E-01  7.06E-03 1.05E+11 Y  3.31E+18  9.47E+16 EC
140LA 57  1596.210   .040  5.84E+00  9.00E-02   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   306.900   .200  1.50E-03  4.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   487.021   .012  2.79E+00  4.00E-02   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  2083.200   .500  7.10E-04  4.00E-05   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57    24.595   .004  1.80E-04  1.80E-09   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   445.500   .500  1.80E-04  6.00E-05   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   751.637   .018  2.65E-01  2.30E-03   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  2347.880   .050  5.20E-02  1.80E-03   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   241.930   .030  2.54E-02  5.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   266.543   .012  2.85E-02  5.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57    64.135   .010  8.80E-04  1.20E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   328.762   .008  1.25E+00  1.80E-02   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   815.772   .019  1.43E+00  1.20E-02   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   867.846   .020  3.37E-01  4.00E-03   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  2464.100   .500  7.00E-04  1.20E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57    68.916   .006  4.62E-03  1.20E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   131.117   .008  2.86E-02  6.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   397.520   .050  4.50E-03  3.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   432.493   .012  1.78E-01  1.80E-03   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   919.550   .023  1.63E-01  1.80E-03   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   109.422   .011  1.34E-02  2.30E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   173.543   .009  7.77E-03  2.30E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   438.500   .500  2.40E-03  6.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   618.120   .050  2.28E-03  2.30E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   925.189   .021  4.22E-01  4.00E-03   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  2521.400   .050  2.12E-01  2.30E-03   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   950.990   .030  3.18E-02  4.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  2547.340   .110  6.19E-03  1.80E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  1303.500   .400  2.60E-03  4.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  2899.610   .160  4.09E-03  1.20E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  1097.200   .230  1.40E-03  3.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  1405.200   .170  3.60E-03  4.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  3118.510   .160  1.52E-03  6.00E-05   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  3320.400   .600  2.34E-04  1.80E-05   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  1045.050   .240  1.50E-03  9.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57   992.900   .500  8.00E-04  3.00E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  1877.290   .190  2.51E-03  2.30E-04   1.6781 D  1.45E+05  6.05E+01 B-
140LA 57  1924.620   .130  8.20E-04  1.20E-04   1.6781 D  1.45E+05  6.05E+01 B-
137CE 58    10.610   .050  5.60E-05  6.03E-06      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   436.590   .090  1.86E-05  6.34E-07      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   447.150   .080  1.30E-04  1.44E-06      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   482.470   .100  3.21E-06  1.16E-07      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   493.030   .100  7.40E-07  4.08E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   148.830   .080  6.30E-08  2.50E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   631.380   .060  9.40E-07  5.11E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   698.720   .110  2.19E-06  1.13E-07      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   709.300   .110  7.50E-08  1.30E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   770.970   .100  4.25E-07  2.54E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   781.570   .130  2.13E-07  2.51E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   217.030   .050  2.80E-07  4.01E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   433.220   .090  3.64E-06  7.23E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   479.120   .100  8.40E-07  4.11E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   915.800   .130  3.61E-06  1.36E-07      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   926.350   .130  2.38E-06  9.38E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   529.300   .200  2.50E-08  1.30E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   678.260   .120  6.30E-08  2.50E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   724.400   .300  5.00E-08  2.50E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58  1160.850   .220  1.05E-07  1.01E-08      9.0 H  3.24E+04  1.08E+03 EC
137CE 58   254.290   .050  2.00E-04  6.00E-05     34.4 H  1.24E+05  1.08E+03 IT
139CE 58   754.240   .080  3.50E-05  1.20E-05     54.8 S  5.48E+01  1.00E+00 IT
142PR 59  1575.600   .500  4.26E-01  1.20E-02    19.12 H  6.88E+04  1.44E+02 B-
142PR 59   508.800   .500  2.60E-03  3.00E-04    19.12 H  6.88E+04  1.44E+02 B-
149ND 60   114.314   .011  2.74E-02  1.86E-03    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    74.320   .030  1.60E-03  3.01E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   188.640   .008  2.55E-03  1.18E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    22.700   .000  7.80E-06  2.20E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    97.001   .012  2.07E-03  1.54E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   211.309   .007  3.70E-02  1.63E-03    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   240.220   .007  5.62E-03  2.40E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    30.000   .030  2.50E-05  6.02E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    58.883   .020  1.80E-03  3.02E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   155.873   .009  8.50E-03  3.34E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   270.166   .007  1.53E-02  4.78E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   288.194   .010  9.90E-04  3.45E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   245.720   .050  1.10E-03  3.01E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   360.052   .018  2.18E-04  7.94E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   176.270   .000  7.00E-05  1.50E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   198.928   .008  1.99E-03  6.90E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   273.240   .040  2.60E-04  1.10E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    36.700   .000  2.60E-05  1.10E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   126.630   .018  1.59E-04  1.13E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   185.489   .025  1.48E-04  7.45E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   208.147   .009  3.63E-03  6.41E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   282.456   .010  8.80E-04  2.67E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   396.760   .040  1.04E-04  4.38E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   226.847   .019  2.33E-04  8.06E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   301.128   .014  5.36E-04  1.76E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    65.230   .000  2.20E-05  7.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   137.050   .030  8.90E-05  7.16E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   155.100   .000  4.80E-05  2.20E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   213.947   .016  5.70E-04  4.12E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   310.979   .013  7.29E-04  2.19E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   425.220   .030  3.88E-04  1.64E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    65.420   .000  4.40E-05  1.50E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    74.660   .100  1.41E-03  2.21E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   192.026   .009  8.10E-04  3.31E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   250.826   .031  4.80E-05  4.08E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   273.500   .000  1.20E-04  6.00E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   245.500   .000  3.00E-04  1.50E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   275.437   .011  9.28E-04  2.71E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   515.750   .090  5.20E-05  7.06E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    75.690   .060  3.30E-04  3.05E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   112.520   .040  1.70E-04  2.22E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   122.415   .013  3.66E-04  2.29E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   141.060   .070  5.50E-05  4.11E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   177.818   .018  2.22E-04  2.23E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   267.693   .008  8.62E-03  2.65E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   326.554   .010  6.51E-03  1.87E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   349.231   .009  1.96E-03  6.02E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   423.553   .010  1.06E-02  6.27E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   131.700   .000  6.30E-06  1.08E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   276.960   .017  4.88E-04  1.72E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   358.490   .100  1.50E-05  7.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   432.660   .000  1.80E-05  7.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   547.100   .000  2.20E-05  1.10E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   198.000   .000  7.00E-05  7.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   287.700   .000  1.80E-05  7.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   443.700   .000  1.50E-05  2.57E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   558.000   .000  1.50E-05  2.57E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   188.800   .000  1.50E-05  2.57E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   254.228   .022  1.22E-04  4.51E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   263.400   .000  3.30E-05  5.66E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   380.790   .000  7.40E-05  4.20E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   439.600   .000  5.20E-05  2.20E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   462.340   .100  6.00E-05  3.00E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   536.600   .000  7.00E-05  3.00E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   651.000   .000  9.00E-05  4.00E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60    96.900   .000  4.80E-05  1.80E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   107.790   .030  1.22E-04  2.21E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   116.930   .024  1.60E-04  4.01E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   139.210   .012  7.20E-04  3.24E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   229.566   .009  6.88E-04  2.15E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   258.067   .013  5.36E-04  1.76E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   294.802   .010  8.14E-04  2.61E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   366.634   .014  7.73E-04  2.57E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   384.687   .016  3.81E-04  1.28E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   443.551   .011  1.64E-03  7.54E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   540.509   .010  9.40E-03  3.41E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   654.831   .013  1.14E-02  6.31E-04    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   361.400   .000  9.00E-06  4.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   606.670   .160  1.50E-05  7.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   197.400   .000  1.80E-05  3.09E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   282.400   .000  2.40E-05  9.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   329.180   .000  3.00E-05  1.50E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   347.843   .018  2.29E-04  8.03E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   357.030   .040  6.70E-05  4.16E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   533.200   .040  1.29E-04  7.34E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   555.880   .090  8.40E-04  4.25E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   630.237   .019  2.70E-04  6.12E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   480.320   .050  5.90E-05  4.13E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   510.300   .050  8.90E-05  2.21E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   636.200   .000  7.40E-05  1.51E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   749.630   .050  1.92E-05  2.22E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   470.500   .000  1.50E-05  7.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   547.400   .000  1.50E-05  7.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   758.650   .080  2.22E-05  2.23E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   342.810   .100  1.20E-04  3.01E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   352.780   .030  7.80E-05  4.22E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   498.060   .000  1.50E-05  4.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   556.830   .090  6.20E-04  7.08E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   653.900   .000  2.60E-05  4.46E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   768.172   .021  8.50E-05  7.15E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   239.600   .000  1.80E-05  3.09E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   399.100   .000  2.10E-05  8.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   575.400   .300  1.10E-05  4.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   598.060   .050  4.10E-05  4.06E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   786.730   .040  1.44E-05  1.82E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   512.700   .000  1.80E-05  7.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   758.650   .080  2.22E-05  2.23E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   673.580   .070  1.60E-05  4.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   498.620   .000  5.20E-05  4.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   563.800   .000  1.30E-05  6.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   635.700   .000  9.60E-05  1.81E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   712.590   .030  9.99E-05  1.85E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   809.600   .000  2.20E-05  3.77E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   923.874   .023  1.44E-04  1.13E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   527.600   .000  1.70E-05  4.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   582.900   .000  2.60E-05  1.10E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   754.291   .021  5.50E-05  4.11E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   828.600   .000  1.20E-05  3.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   942.970   .170  4.40E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   376.900   .000  1.10E-05  6.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   493.850   .050  8.50E-05  7.15E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   671.560   .100  1.50E-05  6.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   743.500   .400  3.70E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   761.460   .050  4.10E-05  4.06E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1031.770   .080  6.30E-06  1.80E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   617.900   .000  1.10E-05  4.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   832.090   .050  3.30E-05  4.04E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   929.200   .000  1.50E-05  2.57E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   861.540   .030  2.50E-05  3.03E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   935.900   .060  6.70E-06  1.11E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   390.900   .000  1.10E-05  4.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   594.400   .050  4.10E-05  4.06E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   781.400   .060  5.50E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   871.375   .023  4.80E-05  4.08E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1027.180   .040  1.26E-05  2.21E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1141.770   .080  3.70E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   740.570   .030  2.03E-05  5.30E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   795.930   .090  9.99E-06  2.28E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   967.430   .040  1.18E-05  1.51E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1156.300   .400  1.50E-06  7.00E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   727.880   .050  2.30E-05  3.03E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   765.100   .000  1.10E-05  3.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   774.600   .000  4.40E-06  1.80E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   793.430   .030  3.20E-05  3.05E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   920.300   .200  5.50E-06  2.20E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   979.013   .023  1.11E-04  1.51E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1075.950   .040  3.00E-05  4.03E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1190.280   .070  3.30E-06  7.02E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   483.590   .050  9.60E-05  4.33E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   512.700   .000  1.80E-05  7.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   579.280   .030  1.07E-04  7.24E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   583.030   .030  7.00E-05  1.80E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   675.790   .040  3.60E-05  3.06E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   686.943   .021  1.26E-04  7.33E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   696.264   .021  2.44E-04  1.56E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   718.430   .040  7.00E-05  7.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   808.843   .020  2.70E-04  1.86E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   837.400   .030  4.40E-05  4.07E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   874.000   .080  6.70E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   945.800   .030  3.10E-05  3.05E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   963.950   .030  3.60E-05  4.05E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1022.780   .030  1.48E-04  1.13E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1234.120   .040  3.70E-05  5.04E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   588.500   .300  8.00E-06  3.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   681.340   .080  1.15E-05  2.21E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   842.847   .023  7.40E-05  7.11E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   951.300   .000  3.70E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1125.320   .050  4.20E-05  5.05E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1239.500   .300  2.60E-06  7.01E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   993.050   .000  6.00E-06  3.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1150.080   .080  3.30E-05  3.05E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1264.020   .060  1.07E-05  1.81E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   864.900   .000  4.80E-06  1.80E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   893.300   .000  6.30E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   929.800   .300  1.55E-05  1.82E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1078.760   .030  9.00E-05  1.01E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1175.750   .060  4.80E-06  1.10E-06    1.728 H  6.22E+03  3.60E+00 B-
