 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
 65NI 28  1623.420   .060  7.06E-05  2.00E-06  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28   609.500   .100  2.20E-05  7.00E-07  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28   954.500   .300  5.10E-07  5.67E-10  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28  1724.920   .060  5.66E-05  1.80E-06  2.51719 H  9.06E+03  9.36E-01 B-
 64CU 29  1345.770   .060  1.55E-02  3.00E-04   12.700 H  4.57E+04  7.20E+00 EC
 66CU 29  1038.970   .030  5.98E-02  1.30E-03    5.120 M  3.07E+02  8.40E-01 B-
 66CU 29   833.520   .180  1.30E-03  3.00E-04    5.120 M  3.07E+02  8.40E-01 B-
 66CU 29  1332.500  1.500  2.30E-05  2.00E-06    5.120 M  3.07E+02  8.40E-01 B-
 69ZN 30   573.900   .200  4.20E-06  4.09E-07    13.76 H  4.95E+04  7.20E+01 B-
 69ZN 30   318.400   .200  2.60E-06  4.04E-07     56.4 M  3.38E+03  5.40E+01 B-
 69ZN 30   871.700   .200  5.50E-07  1.80E-07     56.4 M  3.38E+03  5.40E+01 B-
 69ZN 30   438.634   .018  1.28E-02  4.80E-04    13.76 H  4.95E+04  7.20E+01 IT
 71ZN 30   390.000   .300  1.97E-05  1.88E-06     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   487.300   .100  6.10E-07  7.63E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   121.520   .050  1.53E-05  1.68E-06     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   511.600   .100  1.60E-04  7.95E-06     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   398.600   .200  3.10E-06  3.37E-07     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   423.200   .300  1.97E-07  1.88E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   520.500   .200  4.10E-07  3.63E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   910.300   .100  4.00E-05  3.60E-06     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   453.100   .200  9.00E-07  1.10E-07     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   575.100   .500  1.48E-07  1.76E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   964.800   .200  3.90E-06  3.57E-07     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1109.300   .500  8.40E-07  1.37E-07     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   666.800   .200  4.60E-06  5.50E-07     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   721.400   .300  2.80E-06  3.31E-07     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1120.000   .100  1.12E-05  1.23E-06     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1144.200   .300  4.10E-07  5.40E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1241.500   .500  1.64E-07  1.80E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1631.600   .200  1.97E-06  1.88E-07     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1553.000   .500  1.31E-07  1.73E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  2064.600   .200  2.30E-07  3.21E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1383.800   .500  1.81E-07  1.84E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  1904.400   .300  8.70E-07  9.09E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30  2294.800   .500  1.31E-07  1.73E-08     2.45 M  1.47E+02  6.00E+00 B-
 71ZN 30   389.870   .050  1.40E-06  1.65E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   487.340   .050  3.34E-05  2.24E-06     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   121.480   .050  1.55E-06  1.69E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   511.550   .050  1.52E-05  1.25E-06     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   910.100   .200  1.65E-07  1.71E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   453.080   .070  6.00E-07  5.82E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   574.900   .200  6.00E-08  5.82E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   964.700   .100  2.29E-06  2.75E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   142.600   .050  3.00E-06  3.35E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   596.070   .070  1.50E-05  1.25E-06     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   620.190   .050  3.04E-05  2.13E-06     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1107.400   .200  1.10E-06  1.60E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1395.200   .400  4.50E-08  5.48E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   566.200   .200  1.05E-07  1.13E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   964.600   .300  2.50E-07  1.51E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   988.600   .200  6.50E-07  5.95E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1085.300   .800  2.20E-08  4.15E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1476.000   .200  3.20E-07  3.40E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30    98.500   .100  3.30E-08  4.32E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   528.600   .300  2.50E-08  1.01E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1006.500   .200  4.00E-07  1.02E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   588.600   .200  2.69E-08  2.83E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1011.400   .200  3.60E-07  4.38E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1190.600   .800  6.00E-09  1.53E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1208.000   .050  1.15E-08  2.08E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1232.800   .060  1.50E-08  2.13E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1719.200   .700  2.00E-08  5.10E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   753.410   .070  1.75E-06  1.73E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   771.260   .070  1.10E-06  1.14E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1139.800   .300  1.10E-07  1.60E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1282.700   .300  1.45E-07  1.66E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1759.600   .200  5.00E-07  5.58E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   951.800   .300  5.50E-09  5.70E-10     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   956.700   .200  1.05E-07  1.13E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   974.700   .200  1.89E-07  2.21E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1343.700   .400  2.40E-08  3.23E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1485.800   .400  2.49E-08  2.79E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1963.800   .700  3.00E-09  5.22E-10     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30   994.600   .600  1.60E-08  2.15E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1380.800   .200  1.94E-07  2.22E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  2000.900   .800  2.00E-09  5.10E-10     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  2489.400   .800  2.50E-09  5.15E-10     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1107.000  1.000  4.00E-07  2.01E-07     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1226.500   .060  9.97E-09  5.18E-10     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1244.200   .800  3.30E-08  5.26E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1612.200   .500  6.50E-09  1.53E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1306.700   .200  6.00E-08  5.82E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1311.400   .200  5.50E-08  5.70E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1409.100  1.000  3.50E-09  1.02E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1697.600   .700  2.50E-09  5.15E-10     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1840.000   .400  2.49E-08  2.79E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  2317.700   .600  3.50E-08  5.29E-09     3.96 H  1.43E+04  1.80E+02 B-
