 24	 25-Mg	 12	p	   389.670	   389.670(21)	     0.00586000	         0.00586(24)	     Stable	 0.00E+00	          0.00073(3)                                  
 24	 25-Mg	 12	p	   974.660	     974.66(3)	     0.00663000	         0.00663(24)	     Stable	 0.00E+00	          0.00083(3)                                  
 24	 25-Mg	 12	p	  2438.540	    2438.54(3)	     0.00473000	         0.00473(19)	     Stable	 0.00E+00	        0.000590(24)                                  
 24	 25-Mg	 12	p	  2828.172	  2828.172(25)	     0.02400000	           0.0240(8)	     Stable	 0.00E+00	         0.00299(10)                                  
 24	 25-Mg	 12	p	  3413.100	    3413.10(3)	     0.00401000	         0.00401(16)	     Stable	 0.00E+00	        0.000500(20)                                  
 24	 25-Mg	 12	p	  3301.410	    3301.41(3)	     0.00620000	         0.00620(24)	     Stable	 0.00E+00	          0.00077(3)                                  
 24	 25-Mg	 12	p	  3054.000	    3054.00(3)	     0.00830000	           0.0083(3)	     Stable	 0.00E+00	          0.00103(4)                                  
 24	 25-Mg	 12	p	  3916.840	    3916.84(3)	     0.03200000	          0.0320(11)	     Stable	 0.00E+00	         0.00399(14)                                  
 25	 26-Mg	 12	p	  1808.668	  1808.668(22)	     0.01800000	           0.0180(5)	     Stable	 0.00E+00	          0.00224(6)                                  
 25	 26-Mg	 12	p	  1129.575	  1129.575(23)	     0.00891000	         0.00891(25)	     Stable	 0.00E+00	          0.00111(3)                                  
 25	 26-Mg	 12	p	  3831.480	  3831.480(24)	     0.00418000	         0.00418(14)	     Stable	 0.00E+00	        0.000521(17)                                  
 27	 28-Al	 13	p	    30.638	   30.6380(10)	     0.07980000	          0.0798(20)	     Stable	 0.00E+00	         0.00896(22)                                  
 27	 28-Al	 13	p	   982.951	   982.951(10)	     0.00902000	         0.00902(14)	     Stable	 0.00E+00	        0.001013(16)                                  
 27	 28-Al	 13	p	  1622.877	  1622.877(18)	     0.00989000	         0.00989(15)	     Stable	 0.00E+00	        0.001111(17)                                  
 27	 28-Al	 13	p	  3465.058	   3465.058(7)	     0.01460000	           0.0146(3)	     Stable	 0.00E+00	          0.00164(3)                                  
 27	 28-Al	 13	p	  3591.189	   3591.189(8)	     0.01000000	         0.01000(21)	     Stable	 0.00E+00	        0.001123(24)                                  
 27	 28-Al	 13	p	  4690.676	   4690.676(5)	     0.01090000	         0.01090(24)	     Stable	 0.00E+00	          0.00122(3)                                  
 27	 28-Al	 13	p	  4733.844	  4733.844(11)	     0.01260000	           0.0126(3)	     Stable	 0.00E+00	          0.00142(3)                                  
 27	 28-Al	 13	p	  2282.794	   2282.794(9)	     0.00890000	         0.00890(17)	     Stable	 0.00E+00	        0.001000(19)                                  
 27	 28-Al	 13	p	  2590.193	   2590.193(9)	     0.00807000	         0.00807(16)	     Stable	 0.00E+00	        0.000906(18)                                  
 27	 28-Al	 13	p	  3033.896	   3033.896(6)	     0.01790000	           0.0179(3)	     Stable	 0.00E+00	          0.00201(3)                                  
 27	 28-Al	 13	p	  4133.407	   4133.407(7)	     0.01490000	           0.0149(3)	     Stable	 0.00E+00	          0.00167(3)                                  
 27	 28-Al	 13	p	  4259.534	   4259.534(7)	     0.01530000	           0.0153(3)	     Stable	 0.00E+00	          0.00172(3)                                  
 27	 28-Al	 13	p	  7693.397	   7693.397(4)	     0.00810000	           0.0081(3)	     Stable	 0.00E+00	          0.00091(3)                                  
 27	 28-Al	 13	p	  7724.027	   7724.027(4)	     0.04930000	          0.0493(15)	     Stable	 0.00E+00	         0.00554(17)                                  
 28	 29-Si	 14	p	  1273.349	  1273.349(17)	     0.02890000	           0.0289(6)	     Stable	 0.00E+00	          0.00312(7)                                  
 28	 29-Si	 14	p	  4933.889	  4933.889(24)	     0.11200000	          0.1120(23)	     Stable	 0.00E+00	         0.01209(25)                                  
 28	 29-Si	 14	p	  6379.801	  6379.801(21)	     0.02070000	           0.0207(6)	     Stable	 0.00E+00	          0.00223(7)                                  
 28	 29-Si	 14	p	  2092.902	  2092.902(18)	     0.03310000	           0.0331(6)	     Stable	 0.00E+00	          0.00357(7)                                  
 28	 29-Si	 14	p	  3538.966	  3538.966(22)	     0.11900000	          0.1190(20)	     Stable	 0.00E+00	         0.01284(22)                                  
 28	 29-Si	 14	p	  7199.199	  7199.199(23)	     0.01250000	           0.0125(4)	     Stable	 0.00E+00	          0.00135(4)                                  
 31	 32-P 	 15	p	    78.083	    78.083(20)	     0.05900000	            0.059(3)	     Stable	 0.00E+00	           0.0058(3)                                  
 31	 32-P 	 15	p	   512.646	   512.646(19)	     0.07900000	            0.079(4)	     Stable	 0.00E+00	           0.0077(4)                                  
 31	 32-P 	 15	p	   636.663	   636.663(21)	     0.03110000	          0.0311(14)	     Stable	 0.00E+00	         0.00304(14)                                  
 31	 32-P 	 15	p	  1071.217	  1071.217(23)	     0.02490000	          0.0249(12)	     Stable	 0.00E+00	         0.00244(12)                                  
 31	 32-P 	 15	p	  2151.520	    2151.52(4)	     0.01000000	           0.0100(5)	     Stable	 0.00E+00	          0.00098(5)                                  
 31	 32-P 	 15	p	  2114.470	    2114.47(3)	     0.01150000	           0.0115(5)	     Stable	 0.00E+00	          0.00113(5)                                  
 31	 32-P 	 15	p	  3522.590	    3522.59(3)	     0.02190000	           0.0219(8)	     Stable	 0.00E+00	          0.00214(8)                                  
 31	 32-P 	 15	p	  2156.900	    2156.90(4)	     0.01280000	           0.0128(6)	     Stable	 0.00E+00	          0.00125(6)                                  
 31	 32-P 	 15	p	  2586.000	    2586.00(4)	     0.00890000	           0.0089(4)	     Stable	 0.00E+00	          0.00087(4)                                  
 31	 32-P 	 15	p	  3058.170	    3058.17(4)	     0.01100000	           0.0110(4)	     Stable	 0.00E+00	          0.00108(4)                                  
 31	 32-P 	 15	p	  3273.980	    3273.98(4)	     0.00830000	           0.0083(3)	     Stable	 0.00E+00	          0.00081(3)                                  
 31	 32-P 	 15	p	  3899.890	    3899.89(3)	     0.02940000	          0.0294(10)	     Stable	 0.00E+00	         0.00288(10)                                  
 31	 32-P 	 15	p	  4671.370	    4671.37(3)	     0.01940000	           0.0194(7)	     Stable	 0.00E+00	          0.00190(7)                                  
 31	 32-P 	 15	p	  6785.504	  6785.504(24)	     0.02670000	          0.0267(15)	     Stable	 0.00E+00	         0.00261(15)                                  
 31	 32-P 	 15	p	  7422.022	  7422.022(25)	     0.00820000	           0.0082(3)	     Stable	 0.00E+00	          0.00080(3)                                  
 32	 33-S 	 16	p	   840.993	   840.993(13)	     0.34700000	            0.347(6)	     Stable	 0.00E+00	           0.0328(6)                                  
 32	 33-S 	 16	p	  2379.661	  2379.661(14)	     0.20800000	            0.208(5)	     Stable	 0.00E+00	           0.0197(5)                                  
 32	 33-S 	 16	p	  3220.588	  3220.588(17)	     0.11700000	            0.117(5)	     Stable	 0.00E+00	           0.0111(5)                                  
 32	 33-S 	 16	p	  4869.610	    4869.61(3)	     0.06500000	          0.0650(13)	     Stable	 0.00E+00	         0.00614(12)                                  
 32	 33-S 	 16	p	  2930.670	    2930.67(3)	     0.08320000	          0.0832(13)	     Stable	 0.00E+00	         0.00786(12)                                  
 32	 33-S 	 16	p	  5420.574	  5420.574(24)	     0.30800000	            0.308(7)	     Stable	 0.00E+00	           0.0291(7)                                  
 35	 36-Cl	 17	p	   788.428	  788.4280(10)	     5.42000000	             5.42(5)	     Stable	 0.00E+00	            0.463(4)                                  
 35	 36-Cl	 17	p	  1164.865	 1164.8650(10)	     8.91000000	             8.91(4)	     Stable	 0.00E+00	            0.762(3)                                  
 35	 36-Cl	 17	p	  1601.072	   1601.072(4)	     1.21000000	            1.210(7)	     Stable	 0.00E+00	           0.1034(6)                                  
 35	 36-Cl	 17	p	   786.302	  786.3020(10)	     3.42000000	            3.420(3)	     Stable	 0.00E+00	           0.2923(3)                                  
 35	 36-Cl	 17	p	  1951.140	 1951.1400(20)	     6.33000000	             6.33(4)	     Stable	 0.00E+00	            0.541(3)                                  
 35	 36-Cl	 17	p	  1959.346	   1959.346(4)	     4.10000000	             4.10(3)	     Stable	 0.00E+00	            0.350(3)                                  
 35	 36-Cl	 17	p	   517.073	  517.0730(10)	     7.58000000	             7.58(5)	     Stable	 0.00E+00	            0.648(4)                                  
 35	 36-Cl	 17	p	  2863.819	  2863.819(12)	     1.82000000	           1.820(10)	     Stable	 0.00E+00	           0.1556(9)                                  
 35	 36-Cl	 17	p	  3061.820	    3061.82(4)	     1.13000000	            1.130(7)	     Stable	 0.00E+00	           0.0966(6)                                  
 35	 36-Cl	 17	p	  4979.759	  4979.759(20)	     1.23000000	           1.230(10)	     Stable	 0.00E+00	           0.1051(9)                                  
 35	 36-Cl	 17	p	  5715.244	  5715.244(21)	     1.82000000	           1.820(16)	     Stable	 0.00E+00	          0.1556(14)                                  
 35	 36-Cl	 17	p	  6110.842	  6110.842(18)	     6.59000000	             6.59(6)	     Stable	 0.00E+00	            0.563(5)                                  
 35	 36-Cl	 17	p	  6619.615	  6619.615(19)	     2.53000000	           2.530(23)	     Stable	 0.00E+00	          0.2163(20)                                  
 35	 36-Cl	 17	p	  6627.821	  6627.821(18)	     1.47000000	           1.470(16)	     Stable	 0.00E+00	          0.1257(14)                                  
 35	 36-Cl	 17	p	  7413.968	  7413.968(18)	     3.29000000	             3.29(5)	     Stable	 0.00E+00	            0.281(4)                                  
 35	 36-Cl	 17	p	  7790.330	  7790.330(18)	     2.66000000	             2.66(3)	     Stable	 0.00E+00	            0.227(3)                                  
 40	 41-Ar	 18	p	   167.300	    167.30(20)	     0.53000000	             0.53(5)	     Stable	 0.00E+00	            0.040(4)                                  
 40	 41-Ar	 18	p	   516.000	      516.0(3)	     0.16700000	           0.167(17)	     Stable	 0.00E+00	          0.0127(13)                                  
 40	 41-Ar	 18	p	   837.700	      837.7(3)	     0.06300000	            0.063(7)	     Stable	 0.00E+00	           0.0048(5)                                  
 40	 41-Ar	 18	p	  1186.800	     1186.8(3)	     0.34000000	             0.34(3)	     Stable	 0.00E+00	          0.0258(23)                                  
 40	 41-Ar	 18	p	  2771.900	     2771.9(8)	     0.05700000	            0.057(9)	     Stable	 0.00E+00	           0.0043(7)                                  
