48	 49-Ca	20	d	     2228.9(5)	2228.9	         3.9E-06(10)	0.0000039	1.00E-06	    8.718 M	5.23E+02	          2.9E-07(8)	2.95E-07	7.56E-08
48	 49-Ca	20	d	     2371.7(5)	2371.7	         9.9E-06(22)	0.0000099	2.20E-06	    8.718 M	5.23E+02	         7.5E-07(17)	7.49E-07	1.66E-07
48	 49-Ca	20	d	   3084.40(10)	3084.4	         0.00190(21)	0.0019	2.13E-04	    8.718 M	5.23E+02	        1.44E-04(16)	1.44E-04	1.61E-05
48	 49-Ca	20	d	   4071.90(10)	4071.9	        1.43E-04(22)	0.000143	2.20E-05	    8.718 M	5.23E+02	        1.08E-05(17)	1.08E-05	1.66E-06
48	 49-Ca	20	d	4493	4493	        1.30E-06(15)	0.0000013	1.46E-07	    8.718 M	5.23E+02	         9.8E-08(11)	9.83E-08	1.10E-08
48	 49-Ca	20	d	   4738.20(20)	4738.2	         4.3E-06(12)	0.0000043	1.20E-06	    8.718 M	5.23E+02	          3.3E-07(9)	3.25E-07	9.07E-08
45	 46-Sc	21	d	    142.528(8)	142.528	             4.88(7)	4.88	7.00E-02	    18.75 S	1.88E+01	            0.329(5)	3.29E-01	4.72E-03
50	 51-Ti	22	d	    320.076(6)	320.076	          0.00860(9)	0.0086	8.91E-05	     5.76 M	3.46E+02	         0.000544(6)	5.44E-04	5.64E-06
50	 51-Ti	22	d	     608.55(5)	608.55	         1.10E-04(9)	0.00011	9.07E-06	     5.76 M	3.46E+02	          7.0E-06(6)	6.96E-06	5.74E-07
50	 51-Ti	22	d	     928.63(6)	928.63	          0.00064(3)	0.00064	3.07E-05	     5.76 M	3.46E+02	        4.05E-05(19)	4.05E-05	1.94E-06
50	 51-V 	23	d	     783.29(9)	783.29	            8E-07(5)	0.0000008	5.00E-07	  1.4E+17 Y	4.42E+24	            5E-08(3)	4.76E-08	2.97E-08
50	 51-V 	23	d	    1553.77(6)	1553.77	          3.8E-06(5)	0.0000038	5.01E-07	  1.4E+17 Y	4.42E+24	          2.3E-07(3)	2.26E-07	2.98E-08
